ilce,metrekare_birim_fiyat,ortalama_deger,yillik_degisim_yuzdesi
Adalar,33212,6941308,48.23
Bakırköy,121816,124252320,36.75
Beşiktaş,165072,30538320,36.46
Beykoz,22091,15861338,25.92
Beyoğlu,134165,18246440,103.77
Çatalca,7276,4423808,51.43
Eyüpsultan,44936,37386752,16.35
Fatih,62307,9159129,-5.47
Gaziosmanpaşa,66911,13783666,53.95
Kadıköy,92193,20190267,51.54
Kartal,45518,12244342,42.08
Sarıyer,40116,25112616,22.84
Silivri,8200,4206600,24.6
Şile,10861,7765615,34.87
Şişli,130233,12893067,56.26
Üsküdar,34226,8659178,18.62
Zeytinburnu,108518,57514540,12.75
Büyükçekmece,13821,8223495,17.23
Kağıthane,69247,11148767,20.48
Küçükçekmece,37888,12692480,33.72
Pendik,27596,6733424,33.14
Ümraniye,37479,9482187,38.55
Bayrampaşa,101292,16814472,12.87
Avcılar,25524,7121196,28.18
Bağcılar,62338,15958528,48.76
Bahçelievler,66869,15045525,72.71
Güngören,87743,18952488,64.29
Maltepe,51688,15971592,44.74
Sultanbeyli,22609,5290506,33.5
Tuzla,17289,5757237,39.95
Esenler,58995,12801915,56.3
Arnavutköy,16353,5576373,56.01
Ataşehir,62778,18519510,32.59
Başakşehir,22862,6492808,26.45
Beylikdüzü,28935,18344790,20.24
Çekmeköy,27115,9083525,19.27
Esenyurt,35708,15354440,26.77
Sancaktepe,26595,6462585,30.04
Sultangazi,36024,7348896,26.32
