Districts,Homicide,Attempted Homicide,Assault,Aggravated Assault,Theft,Pickpocketing Snatching,Total Crime - 2003,Population 2000,Crime %00
Eminönü,27.0,244,110,91,513,346,1331,55635,"0,024"
Beyoğlu,21.0,497,236,183,2059,1096,4092,231900,"0,017"
Fatih,74.0,504,378,116,4377,699,6148,403508,"0,015"
Şişli,17.0,216,42,108,3107,284,3774,270674,"0,014"
Beşiktaş,7.0,99,37,79,2322,268,2812,190813,"0,015"
Üsküdar,16.0,223,196,49,2015,224,2723,495118,"0,005"
Zeytinburnu,18.0,192,35,66,881,114,1306,247669,"0,005"
Kadıköy,16.0,308,64,79,3537,446,4450,663299,"0,007"
Eyüp,6.0,129,48,47,935,108,1273,235116,"0,005"
Bakırköy,9.0,73,41,60,1235,110,1528,208398,"0,007"
Gaziosmanpaşa,27.0,346,161,102,1795,116,2547,658756,"0,004"
Sarıyer,3.0,95,135,27,1491,159,1910,219032,"0,009"
Beykoz,5.0,55,83,5,666,97,911,172291,"0,005"
Kartal,21.0,168,45,22,1342,125,1723,337390,"0,005"
Adalar,1.0,8,27,2,60,11,109,17760,"0,006"
Çatalca,2.0,8,35,1,55,26,127,15779,"0,008"
Silivri,2.0,17,20,5,154,8,206,44530,"0,005"
Şile,1.0,3,28,0,61,0,93,10262,"0,009"
Bayrampaşa,11.0,156,24,54,1242,146,1633,246006,"0,007"
Kağıthane,16.0,191,84,47,1527,75,1940,345239,"0,006"
Ümraniye,17.0,189,29,26,1666,228,2155,440859,"0,005"
Küçükçekmece,16.0,188,54,15,1195,124,1593,384668,"0,004"
Pendik,34.0,183,27,75,1682,164,2165,593520,"0,004"
Büyükçekmece,5.0,46,81,16,608,43,799,35860,"0,022"
Bahçelievler,21.0,222,60,83,2072,226,2684,478623,"0,006"
Esenler,17.0,222,44,36,1352,94,1765,380709,"0,005"
Güngören,23.0,205,21,61,1082,67,1459,556519,"0,003"
Bağcılar,6.0,109,26,25,1325,78,1569,355384,"0,004"
Maltepe,7.0,143,19,40,1364,108,1681,272950,"0,006"
Sultanbeyli,7.0,95,124,8,524,22,780,175700,"0,004"
Avcılar,5.0,102,39,33,883,60,1122,233749,"0,005"
Tuzla,4.0,45,84,11,451,71,666,107883,"0,006"
Average,14.4,165,76,49,"1361,8","179,5","1846,063",283925,"0,007"
TOTAL,462.0,5281,2437,1573,43578,5743,59074,9085599,"0,007"
