İl ve ilçe,Total,İl ve ilçe merkezleri,Belde ve köyler,Nüfus artış hızı
Adalar,16979,16979,-,39.279611171379926
Arnavutköy,344868,344868,-,25.866068372021456
Ataşehir,414866,414866,-,-4.00051051040423
Avcılar,440934,440934,-,8.456416297035577
Bağcılar,713594,713594,-,-7.645927948529659
Bahçelievler,560086,560086,-,-13.763433907689947
Bakırköy,219893,219893,-,-2.6477810227571843
Başakşehir,520467,520467,-,20.48244030748064
Bayrampaşa,268303,268303,-,-2.036664373389887
Beşiktaş,167264,167264,-,-10.455481434997678
Beykoz,245440,245440,-,-0.8430278637370485
Beylikdüzü,415290,415290,-,14.413864263979692
Beyoğlu,216688,216688,-,-8.734723343738771
Büyükçekmece,280528,280528,-,14.202356832995486
Çatalca,80399,80399,-,4.887607450645347
Çekmeköy,306739,306739,-,22.861624316880015
Esenler,423625,423625,-,-10.043230487449868
Esenyurt,988369,988369,-,10.539282328868905
Eyüpsultan,420706,420706,-,1.2177430450001525
Fatih,354472,354472,-,-4.371594737938316
Gaziosmanpaşa,479931,479931,-,-8.091261779194577
Güngören,264831,264831,-,-19.122643381916056
Kadıköy,462189,462189,-,-12.321305679072776
Kağıthane,444820,444820,-,-1.9135494984315458
Kartal,475859,475859,-,1.7183706843011255
Küçükçekmece,789033,789033,-,-3.791124818635081
Maltepe,524921,524921,-,3.4043950297261105
Pendik,749356,749356,-,7.476945751524574
Sancaktepe,502077,502077,-,18.641965313927944
Sarıyer,342582,342582,-,-4.857092503540926
Silivri,232156,232156,-,45.98070445137418
Sultanbeyli,369193,369193,-,23.26740986745797
Sultangazi,532601,532601,-,-0.37732201314378566
Şile,48936,48936,-,8.186928248954494
Şişli,263063,263063,-,-6.339555789789515
Tuzla,301400,301400,-,26.206365566638432
Ümraniye,727819,727819,-,5.592545192912769
Üsküdar,512981,512981,-,-8.476954740805484
Zeytinburnu,278344,278344,-,-9.126735264050565
